model,family,reasoning,accuracy,sym_time,sym_count,sym_metadata,total_tokens,reasoning_tokens,tokens_per_prompt,p50_latency_ms,p95_latency_ms,tool_calls_per_prompt,errors,invalids
o3-mini,openai-reasoning,True,0.9143,0.9692,0.7833,1.0,329222,53952,1881.3,3961.7,9570.1,0.88,0,0
o1,openai-reasoning,True,0.8971,0.9692,0.7667,0.96,335940,61504,1919.7,5224.4,18411.6,0.87,0,2
claude-sonnet-4-5,claude,False,0.8743,0.8769,0.7667,1.0,535098,0,3057.7,4534.3,6277.8,1.0,0,1
claude-opus-4-7,claude,False,0.8514,0.8615,0.7167,1.0,700399,0,4002.3,6859.4,20841.6,0.98,0,1
gpt-4o,gpt-4o-family,False,0.8514,0.7692,0.8167,1.0,299837,0,1713.4,1062.9,2733.9,1.07,0,0
gpt-4o-mini,gpt-4o-family,False,0.8171,0.7077,0.8,0.98,406535,0,2323.1,1572.4,2826.2,1.95,0,3
